timestamp,day_of_year,minute_of_day,location_index,original_address,demand,order_id
1725207660,245,1311,3,"Aura Pizzas, Sector 4, Delhi NCR",1,6144773131
1725207840,245,1314,2,"Aura Pizzas, Sector 135, Delhi NCR",1,6139217739
1725208080,245,1318,4,"Aura Pizzas, Vasant Kunj, Delhi NCR",2,6141588798
1725208260,245,1321,21,"Swaad, Sector 4, Delhi NCR",1,6143870258
1725208260,245,1321,3,"Aura Pizzas, Sector 4, Delhi NCR",2,6144099558
1725208980,245,1333,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",1,6143675625
1725209220,245,1337,2,"Aura Pizzas, Sector 135, Delhi NCR",2,6142270452
1725209460,245,1341,2,"Aura Pizzas, Sector 135, Delhi NCR",2,6140569311
1725209640,245,1344,0,"Aura Pizzas, DLF Phase 1, Delhi NCR",1,6135456760
1725209820,245,1347,18,"Swaad, DLF Phase 1, Delhi NCR",1,6141484544
1725210840,245,1364,19,"Swaad, Greater Kailash 2 (GK2), Delhi NCR",1,6144790441
1725211500,245,1375,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",1,6141941054
1725211800,245,1380,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",2,6144805377
1725212220,245,1387,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",3,6133001525
1725212580,245,1393,4,"Aura Pizzas, Vasant Kunj, Delhi NCR",1,6141848777
1725212760,245,1396,2,"Aura Pizzas, Sector 135, Delhi NCR",1,6138409215
1725213600,245,1410,4,"Aura Pizzas, Vasant Kunj, Delhi NCR",1,6144147668
1725213840,245,1414,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",1,6135212660
1725214380,245,1423,2,"Aura Pizzas, Sector 135, Delhi NCR",2,6138813702
1725215040,245,1434,21,"Swaad, Sector 4, Delhi NCR",1,6141317336
1725215220,245,1437,3,"Aura Pizzas, Sector 4, Delhi NCR",1,6136377713
1725218520,246,52,21,"Swaad, Sector 4, Delhi NCR",1,6143587716
1725219360,246,66,21,"Swaad, Sector 4, Delhi NCR",1,6140918262
1725219540,246,69,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",1,6145536692
1725219900,246,75,3,"Aura Pizzas, Sector 4, Delhi NCR",1,6138919661
1725222360,246,116,3,"Aura Pizzas, Sector 4, Delhi NCR",3,6145521453
1725222480,246,118,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",2,6143837783
1725224340,246,149,19,"Swaad, Greater Kailash 2 (GK2), Delhi NCR",3,6124801607
1725224700,246,155,3,"Aura Pizzas, Sector 4, Delhi NCR",3,6138482449
1725260820,246,757,21,"Swaad, Sector 4, Delhi NCR",1,6145627993
1725262920,246,792,3,"Aura Pizzas, Sector 4, Delhi NCR",3,6142923963
1725263640,246,804,3,"Aura Pizzas, Sector 4, Delhi NCR",2,6144456656
1725264480,246,818,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",2,6127758442
1725265260,246,831,20,"Swaad, Sector 135, Delhi NCR",1,6127685902
1725266460,246,851,18,"Swaad, DLF Phase 1, Delhi NCR",2,6146088816
1725266760,246,856,18,"Swaad, DLF Phase 1, Delhi NCR",2,6142969913
